Dish Name,Cuisine Type,Channels,KunFoods Video,KunFoods Link,FoodfusionPk Video,FoodfusionPk Link
Smokey Cholay🌶️👉 Breakfast/Sehri Recipe,Indian/Pakistani,1 channel,-,-,Smokey Cholay🌶️👉 Breakfast/Sehri Recipe by Food Fusion,https://www.youtube.com/watch?v=ty3Wg57qYq4
Smokey Dahi/yogurt Chicken kabab,Indian/Pakistani,1 channel,-,-,Smokey Dahi/yogurt Chicken kabab - Ramadan special Recipe by Food Fusion,https://www.youtube.com/watch?v=gXl9jOHXwuA
Smokey Gurr Sharbat Recipe,Indian/Pakistani,1 channel,-,-,Smokey Gurr Sharbat Recipe by Food Fusion,https://www.youtube.com/watch?v=he3VYt9Voi4
Smokey Keema Recipe,Indian/Pakistani,1 channel,-,-,Smokey Keema Recipe By Food Fusion,https://www.youtube.com/watch?v=e2_fQE80zqY
Smokey Malai Chicken in Air fryer,Indian/Pakistani,1 channel,-,-,Smokey Malai Chicken in Air fryer - Ramadan Special Recipe by Food Fusion,https://www.youtube.com/watch?v=ncHR1bCugs4
Smokey Mutton Recipe,Indian/Pakistani,1 channel,-,-,Smokey Mutton Recipe by Food Fusion,https://www.youtube.com/watch?v=8FXzQZvgZ7c
Smokey Seekh Kabab Biryani Ramadan Special Recipe,Indian/Pakistani,1 channel,-,-,Smokey Seekh Kabab Biryani Ramadan Special Recipe By Food Fusion,https://www.youtube.com/watch?v=WHQJcgPsbOM
Smokey Yogurt Kabab,Indian/Pakistani,1 channel,-,-,Smokey Yogurt Kabab | Dahi Walay Kebab Recipe By Food Fusion,https://www.youtube.com/watch?v=fMYxIKeHvt8
Smoky Beef Lasagna Recipe,Continental,1 channel,-,-,Smoky Beef Lasagna Recipe by Food Fusion,https://www.youtube.com/watch?v=nhKtZjU4QU0
Smoky Chicken Lasagna Without Oven Recipe By Food Fusion (Ramzan Special),Continental,1 channel,-,-,Smoky Chicken Lasagna Without Oven Recipe By Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=__x5wQHXJSU
