Dish Name,Cuisine Type,Channels,KunFoods Video,KunFoods Link,FoodfusionPk Video,FoodfusionPk Link
1 Million Subscribers Celebration with Fondant cake Recipe,Continental,1 channel,-,-,1 Million Subscribers Celebration with Fondant cake Recipe By Food Fusion,https://www.youtube.com/watch?v=NiFJhR3Q2w8
1 Pot Rasmalai,Indian/Pakistani,1 channel,1 Pot Rasmalai Recipe - Ultimate Guide for Fail Proof Rasmalai,https://www.youtube.com/watch?v=Zk3CBPW5P6g,-,-
1.5 Liter Milk Perfect Kheer,Indian/Pakistani,1 channel,1.5 Liter Milk Perfect Kheer Recipe - Peshawari Style Special Rabri Kheer,https://www.youtube.com/watch?v=-m-HEFI9AoA,-,-
10 Dawat Recipes,Indian/Pakistani,1 channel,-,-,10 Dawat Recipes by Food Fusion,https://www.youtube.com/watch?v=ofwvrPSSU6Y
10 Quick Parathas for sehri (Ramzan Special Recipes 2018),Indian/Pakistani,1 channel,-,-,10 Quick Parathas for sehri (Ramzan Special Recipes 2018)  By Food Fusion,https://www.youtube.com/watch?v=N8UZKPCorrI
100 Years Old Panjiri Recipe,Indian/Pakistani,1 channel,-,-,100 Years Old Panjiri Recipe By Food Fusion,https://www.youtube.com/watch?v=rAVqCv9c5M8
11 Samosa Folding Techniques to perfectly fold samosas by Food Fusion (Ramzan Special Recipe),Indian/Pakistani,1 channel,-,-,11 Samosa Folding Techniques to perfectly fold samosas by Food Fusion (Ramzan Special Recipe),https://www.youtube.com/watch?v=WmKIq2FX9WM
15min Breakfast Recipe Omelette Noodles with Tomato Sauce and Chicken,Continental,1 channel,-,-,15min Breakfast Recipe Omelette Noodles with Tomato Sauce and Chicken By Food Fusion,https://www.youtube.com/watch?v=ze8PM6Jr6go
19 Samosa Folding Techniques By Food Fusion (Ramzan Special),Indian/Pakistani,1 channel,-,-,19 Samosa Folding Techniques By Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=F3DJ_Pt7qrE
19B Soup Commercial Style with Real Sauces,Indian/Pakistani,1 channel,19B Soup Commercial Style with Real Sauces,https://www.youtube.com/watch?v=AJZZZ88nQMI,-,-
19B Soup Recipe,Indian/Pakistani,1 channel,-,-,19B Soup Recipe by Food Fusion,https://www.youtube.com/watch?v=VnNYiTYJEOU
1Billion Creators Expo in dubai,Indian/Pakistani,1 channel,-,-,1Billion Creators Expo - Food Fusion in dubai,https://www.youtube.com/watch?v=xHnjO46a7Do
2 Best Chutney,Indian/Pakistani,1 channel,"2 Best Chutney - Perfect for Eid BBQ, Seekh Kabab, Tikka Boti, Rice",https://www.youtube.com/watch?v=tpFACRd5qNM,-,-
"2 Best Chutney Recipe for Fish Fry, Grilled Fish and BBQ",Indian/Pakistani,1 channel,"2 Best Chutney Recipe for Fish Fry, Grilled Fish and BBQ",https://www.youtube.com/watch?v=3uWiLQkMKjw,-,-
"2 Chutney Recipe || Perfect for BBQ, Tikka Boti, Seekh Kabab, Mandi Rice |",Arabic/Mediterranean,1 channel,"2 Chutney Recipe || Perfect for BBQ, Tikka Boti, Seekh Kabab, Mandi Rice || Kun Foods",https://www.youtube.com/watch?v=xDxo2kdngic,-,-
2 Crispy Potatoes Snacks Recipes,Indian/Pakistani,1 channel,-,-,2 Crispy Potatoes Snacks Recipes by Food Fusion,https://www.youtube.com/watch?v=pXIhzO-uPbA
2 Easy Bread Pudding with Leftover Bread Recipe,Indian/Pakistani,1 channel,-,-,2 Easy Bread Pudding with Leftover Bread Recipe by Food Fusion,https://www.youtube.com/watch?v=YD2u00a87zs
2 Easy Chicken Sandwich Recipes,Continental,1 channel,-,-,2 Easy Chicken Sandwich Recipes By Food Fusion,https://www.youtube.com/watch?v=PKAM_pmUkw4
2 Easy Cutlet/kabab Recipes,Indian/Pakistani,1 channel,-,-,2 Easy Cutlet/kabab Recipes By Food Fusion,https://www.youtube.com/watch?v=zeYW6MaBc5o
2 Easy Homemade Cereal Recipes,Indian/Pakistani,1 channel,-,-,2 Easy Homemade Cereal Recipes By Food Fusion,https://www.youtube.com/watch?v=kDq3ZYE2vs8
2 Easy Sandwiches For Lunch Box,Indian/Pakistani,1 channel,-,-,2 Easy Sandwiches For Lunch Box - Recipes by Food Fusion,https://www.youtube.com/watch?v=FAJj7KSC_MI
2 Healthy Salad ( Protein Salad & Iceberg salad) Recipes Recipes By @HealthyFoodFusion,Indian/Pakistani,1 channel,-,-,2 Healthy Salad ( Protein Salad & Iceberg salad) Recipes Recipes By @HealthyFoodFusion,https://www.youtube.com/watch?v=L9ZuTQGPTnI
2 Homemade Nimko Recipes,Indian/Pakistani,1 channel,-,-,2 Homemade Nimko Recipes By Food Fusion,https://www.youtube.com/watch?v=A7xbPiIEaig
2 Quick and Easy Pulao Recipes,Indian/Pakistani,1 channel,-,-,2 Quick and Easy Pulao Recipes By Food Fusion,https://www.youtube.com/watch?v=Igo6dVCEeuQ
2 Refreshing Lassi Recipes,Indian/Pakistani,1 channel,-,-,2 Refreshing Lassi Recipes | Mint Lassi & Coconut Lassi by Food Fusion,https://www.youtube.com/watch?v=7pMaywDtwD0
2 Sauce,Continental,1 channel,"2 Sauce Recipe | Perfect for Zinger Burger, Grill Burger and Beef burger (Commercial)",https://www.youtube.com/watch?v=haQbrBQAYc8,-,-
2 Strawberry Drinks with 7up,Indian/Pakistani,1 channel,-,-,2 Strawberry Drinks with 7up - Recipes by Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=SpMoDldZbGk
2 Super Delicious Karahi Recipes,Indian/Pakistani,1 channel,-,-,2 Super Delicious Karahi Recipes By Food Fusion,https://www.youtube.com/watch?v=q3p4XXwZt3k
2 Tasty Aloo Tikki Recipes,Indian/Pakistani,1 channel,-,-,2 Tasty Aloo Tikki Recipes By Food Fusion,https://www.youtube.com/watch?v=52Pcxw_hGiY
2 Unique Chaat Recipes (Manchurian Chaat & Kathiawari Cholay),Chinese,1 channel,-,-,2 Unique Chaat Recipes (Manchurian Chaat & Kathiawari Cholay) By Food Fusion,https://www.youtube.com/watch?v=Tm8Bgh7Kx-w
3 Appetizing & Quick Recipes To Try At Home,Indian/Pakistani,1 channel,-,-,3 Appetizing & Quick Recipes To Try At Home By Food Fusion,https://www.youtube.com/watch?v=HBzEr_roItM
3 Best Chana Daal Rice Recipes,Indian/Pakistani,1 channel,-,-,3 Best Chana Daal Rice Recipes By Food Fusion,https://www.youtube.com/watch?v=hLQ6HuO65Bg
3 Best Fried Chicken Recipes,Indian/Pakistani,1 channel,-,-,3 Best Fried Chicken Recipes By Food Fusion,https://www.youtube.com/watch?v=zNt4nIDYOLo
"3 Easy Chutney (Till, Tamatar, Anar dana) condiments By Food Fusion (Ramzan Special Recipes)",Indian/Pakistani,1 channel,-,-,"3 Easy Chutney (Till, Tamatar, Anar dana) condiments By Food Fusion (Ramzan Special Recipes)",https://www.youtube.com/watch?v=R0fFbm0WBb0
"3 Easy Mayo Sandwich (Chicken, Veg and Potato) Recipes",Continental,1 channel,-,-,"3 Easy Mayo Sandwich (Chicken, Veg and Potato) Recipes By Food Fusion",https://www.youtube.com/watch?v=RNs29pZL0As
3 Energy Milkshake Recipes,Indian/Pakistani,1 channel,-,-,3 Energy Milkshake Recipes - Sehri Special By Food Fusion,https://www.youtube.com/watch?v=1BG8fkufZ-8
3 Flavourful Samosa Cones Make and Store Recipe By Food Fusion (Ramzan Specil Recipe),Indian/Pakistani,1 channel,-,-,3 Flavourful Samosa Cones Make and Store Recipe By Food Fusion (Ramzan Specil Recipe),https://www.youtube.com/watch?v=OpGYvtE7ifc
3 Flavoursome Roll Recipes By Food Fusion (Make and Store Ramzan Special),Indian/Pakistani,1 channel,-,-,3 Flavoursome Roll Recipes By Food Fusion (Make and Store Ramzan Special),https://www.youtube.com/watch?v=MKho6oEKK0g
3 Ingredients Bisca Ice cream Recipe by Asad Memon (Ramzan Special),Indian/Pakistani,1 channel,-,-,3 Ingredients Bisca Ice cream Recipe by Asad Memon- Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=hDCwYtm15QU
3 Irresistible Beef Burgers Recipes,Indian/Pakistani,1 channel,-,-,3 Irresistible Beef Burgers Recipes by Food Fusion,https://www.youtube.com/watch?v=JY8UwD3cS3c
3 Make and Freeze Paratha Recipes By Food Fusion (Ramzan Special),Indian/Pakistani,1 channel,-,-,3 Make and Freeze Paratha Recipes By Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=6gaBDC9IOG0
3 Million Subscribers Celebration with New Year,Indian/Pakistani,1 channel,-,-,3 Million Subscribers Celebration with New Year,https://www.youtube.com/watch?v=CpnIl_6pZZk
3 Mirchilli Recipes,Indian/Pakistani,1 channel,-,-,3 Mirchilli Recipes By Food Fusion,https://www.youtube.com/watch?v=sQJbjafDlTI
3 Must Try Ice Cream Recipes,Indian/Pakistani,1 channel,-,-,3 Must Try Ice Cream Recipes By Food Fusion,https://www.youtube.com/watch?v=niGjd0RYubQ
3 Must-Try Boti Roll Recipes,Indian/Pakistani,1 channel,-,-,3 Must-Try Boti Roll Recipes By Food Fusion,https://www.youtube.com/watch?v=vjDEHHGAl_I
3 Must-Try Masoor Daal Recipes for Everyday Cooking,Indian/Pakistani,1 channel,-,-,3 Must-Try Masoor Daal Recipes for Everyday Cooking | Food Fusion,https://www.youtube.com/watch?v=xJjgCKiErmk
3 Perfect Naan recipes,Indian/Pakistani,1 channel,-,-,3 Perfect Naan recipes By Food Fusion,https://www.youtube.com/watch?v=nkCaia1NLXk
3 Quick & Easy Sandwich Recipes,Continental,1 channel,-,-,3 Quick & Easy Sandwich Recipes By Food Fusion,https://www.youtube.com/watch?v=qOan9eJbEao
"3 Quick Chutney (Keri, Khatti Meethi & Teekhi Tamatar Chutney) Recipes",Indian/Pakistani,1 channel,-,-,"3 Quick Chutney (Keri, Khatti Meethi & Teekhi Tamatar Chutney) Recipes By Food Fusion",https://www.youtube.com/watch?v=xqetrCyoiF0
3 Recipe ideas with pulled chicken filling,Indian/Pakistani,1 channel,-,-,3 Recipe ideas with pulled chicken filling by Food Fusion,https://www.youtube.com/watch?v=adZNulUe4Mc
3 Recipe Shoots in one day while on vacation in Nathia Gali,Indian/Pakistani,1 channel,-,-,3 Recipe Shoots in one day while on vacation in Nathia Gali  - Vlog Part 5 - Food Fusion,https://www.youtube.com/watch?v=ZliPL8kRco8
3 Recipes for Nutella Lovers,Indian/Pakistani,1 channel,-,-,3 Recipes for Nutella Lovers By Food Fusion,https://www.youtube.com/watch?v=gHb9b8WGFEQ
3 Recipes to Enjoy with Kids,Indian/Pakistani,1 channel,-,-,3 Recipes to Enjoy with Kids By Food Fusion,https://www.youtube.com/watch?v=R6RSD1s01xY
3 Refreshing Drinks with Gur Recipe,Indian/Pakistani,1 channel,-,-,3 Refreshing Drinks with Gur Recipe by Food Fusion,https://www.youtube.com/watch?v=XvFnHxNMdc0
3 Refreshing Mint Summer Drinks,Indian/Pakistani,1 channel,-,-,3 Refreshing Mint Summer Drinks -  Recipes By Food Fusion (Ramadan Special),https://www.youtube.com/watch?v=iTKGZzv5jtg
3 Secret Street Style Chutney Recipes by Asad Memon (Ramzan Special),Indian/Pakistani,1 channel,-,-,3 Secret Street Style Chutney Recipes by Asad Memon-Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=vMEameovgco
3 Shawarma Recipes,Arabic/Mediterranean,1 channel,-,-,3 Shawarma Recipes By Food Fusion,https://www.youtube.com/watch?v=qdgN9dui7Rs
"3 Smoothies: Coffee, Superfood, Apple Recipes",Continental,1 channel,-,-,"3 Smoothies: Coffee, Superfood, Apple Recipes by Food Fusion",https://www.youtube.com/watch?v=_FS_8lYNPDo
3 Special Falsa Recipes,Indian/Pakistani,1 channel,-,-,3 Special Falsa Recipes By Food Fusion,https://www.youtube.com/watch?v=cPO6FkUyrUU
3 Time Saving Cooking hacks,Indian/Pakistani,1 channel,-,-,3 Time Saving Cooking hacks by Food Fusion,https://www.youtube.com/watch?v=_7JnyVx46eI
"3 Trending Coffee Recipes (Mentos, Kapiko and Milkano)",Continental,1 channel,-,-,"3 Trending Coffee Recipes (Mentos, Kapiko and Milkano) By Food Fusion",https://www.youtube.com/watch?v=oA7JuIQp0jk
3 Turkish Style Soups Recipes,Arabic/Mediterranean,1 channel,-,-,3 Turkish Style Soups Recipes by Food Fusion,https://www.youtube.com/watch?v=-rlvKZ_q-28
3 Unique Paratha Recipes,Indian/Pakistani,1 channel,-,-,3 Unique Paratha Recipes by Food Fusion,https://www.youtube.com/watch?v=-q1ZM9OqYkQ
3-Burger Recipes,Continental,1 channel,-,-,3-Burger Recipes By Food Fusion,https://www.youtube.com/watch?v=sdRRieL0d0M
3-Creamy Dips Ramadan Special Recipe,Indian/Pakistani,1 channel,-,-,3-Creamy Dips Ramadan Special Recipe by Food Fusion,https://www.youtube.com/watch?v=JBNYlefScx0
350 Families Reached,Indian/Pakistani,1 channel,-,-,350 Families Reached - Dadu Food Fusion Flood Relief Campaign,https://www.youtube.com/watch?v=6_Tlu9fwhcU
4 Air fryer Friendly Make and Freeze Iftar Snacks Recipes By Food Fusion (Iftar Ideas),Indian/Pakistani,1 channel,-,-,4 Air fryer Friendly Make and Freeze Iftar Snacks Recipes By Food Fusion (Iftar Ideas),https://www.youtube.com/watch?v=YFR6wlKHyhg
4 Aloo/potato Recipes By Food Fusion (Ramzan Special Recipes),Indian/Pakistani,1 channel,-,-,4 Aloo/potato Recipes By Food Fusion (Ramzan Special Recipes),https://www.youtube.com/watch?v=Icb8JH59rZg
4 Aray Wah Sandwich Recipes,Continental,1 channel,-,-,4 Aray Wah Sandwich Recipes By Food Fusion,https://www.youtube.com/watch?v=fBHvr1CaH4Y
4 Array Wah Burger Recipes,Continental,1 channel,-,-,4 Array Wah Burger Recipes By Food Fusion,https://www.youtube.com/watch?v=rhgtFMH4fNE
4 Baisan Special Recipes,Indian/Pakistani,1 channel,-,-,4 Baisan Special Recipes By Food Fusion,https://www.youtube.com/watch?v=0p6ScoDxXuE
4 Best Beef Boti Recipes by Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,4 Best Beef Boti Recipes by Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=g_b6vwLGfp8
4 Best Pasta Recipes 2022,Continental,1 channel,-,-,4 Best Pasta Recipes 2022 By Food Fusion,https://www.youtube.com/watch?v=0jq2VyEzE2g
4 Best Poori Recipes,Indian/Pakistani,1 channel,-,-,4 Best Poori Recipes by Food Fusion,https://www.youtube.com/watch?v=LCkwoOhrG7Y
4 Bread Snacks,Indian/Pakistani,1 channel,-,-,4 Bread Snacks By Food Fusion,https://www.youtube.com/watch?v=-TZUNvhubYw
4 Chicken Roll Recipes,Indian/Pakistani,1 channel,-,-,4 Chicken Roll Recipes By Food Fusion,https://www.youtube.com/watch?v=qGzrbSLuzcs
4 Chicken Soup Recipes,Indian/Pakistani,1 channel,-,-,4 Chicken Soup Recipes By Food Fusion,https://www.youtube.com/watch?v=UY4Oeib6icQ
4 Chinese Style Recipes,Chinese,1 channel,-,-,4 Chinese Style Recipes By Food Fusion,https://www.youtube.com/watch?v=S-XJ9PFDP4Y
4 Cozy Winter Drinks,Indian/Pakistani,1 channel,-,-,4 Cozy Winter Drinks - Recipes by Food Fusion,https://www.youtube.com/watch?v=cxBUTIlP0LE
4 Creamy Fruit Chaat Recipes,Indian/Pakistani,1 channel,-,-,4 Creamy Fruit Chaat Recipes by Food Fusion,https://www.youtube.com/watch?v=03DPuzo-Ub4
4 Creamy Iftar Dessert Recipe By Food Fusion (Ramazan Special 2022),Indian/Pakistani,1 channel,-,-,4 Creamy Iftar Dessert Recipe By Food Fusion (Ramazan Special 2022),https://www.youtube.com/watch?v=sVoJ3gTCNHo
4 Creamy Winter Soup Recipes,Indian/Pakistani,1 channel,-,-,4 Creamy Winter Soup Recipes By Food Fusion,https://www.youtube.com/watch?v=7tHaXtUJkoo
4 Cutlets/Kabab Recipes By Food Fusion (Ramzan Special Recipe),Indian/Pakistani,1 channel,-,-,4 Cutlets/Kabab Recipes By Food Fusion (Ramzan Special Recipe),https://www.youtube.com/watch?v=01gg2KqxkWw
4 Daal Chawal Combo Recipes,Indian/Pakistani,1 channel,-,-,4 Daal Chawal Combo Recipes By Food Fusion,https://www.youtube.com/watch?v=bUDNAT7ZXvA
4 Daleem Recipes,Indian/Pakistani,1 channel,-,-,4 Daleem Recipes by Food Fusion,https://www.youtube.com/watch?v=mNTB8C37fak
4 Dawat Desserts By Food Fusion (Eid Special Recipes),Indian/Pakistani,1 channel,-,-,4 Dawat Desserts By Food Fusion (Eid Special Recipes),https://www.youtube.com/watch?v=c7PqdJrl8mA
4 Dawat Rice Recipe By Food Fusion (Eid Special),Indian/Pakistani,1 channel,-,-,4 Dawat Rice Recipe By Food Fusion (Eid Special),https://www.youtube.com/watch?v=97mdiOlL1Vs
4 Desi Rice Desserts By Food Fusion (Ramzan Special Recipes),Indian/Pakistani,1 channel,-,-,4 Desi Rice Desserts By Food Fusion (Ramzan Special Recipes),https://www.youtube.com/watch?v=WTuM60cbhF0
4 Drink Recipes To Beat The Heat,Indian/Pakistani,1 channel,-,-,4 Drink Recipes To Beat The Heat By Food Fusion,https://www.youtube.com/watch?v=eC66q_UQ6iU
4 Easy Dessert Recipes By Food Fusion (Eid Special Recipes),Indian/Pakistani,1 channel,-,-,4 Easy Dessert Recipes By Food Fusion (Eid Special Recipes),https://www.youtube.com/watch?v=zvysr_vw1uk
4 Easy Iftar Dinner Ideas,Indian/Pakistani,1 channel,-,-,4 Easy Iftar Dinner Ideas By Food Fusion,https://www.youtube.com/watch?v=OCtIiLZz490
4 Easy Vegetable Snacks Recipes,Indian/Pakistani,1 channel,-,-,4 Easy Vegetable Snacks Recipes By Food Fusion,https://www.youtube.com/watch?v=B8_qVTUpY4Y
4 Egg Recipes Under 30 Min By Food Fusion  (Sehri & Breakfast Recipes),Indian/Pakistani,1 channel,-,-,4 Egg Recipes Under 30 Min By Food Fusion  (Sehri & Breakfast Recipes),https://www.youtube.com/watch?v=U0-GaBsRX3s
4 Eid Seviyan Recipes by Food Fusion (Eid Special Sheer khurma),Indian/Pakistani,1 channel,-,-,4 Eid Seviyan Recipes by Food Fusion (Eid Special Sheer khurma),https://www.youtube.com/watch?v=_LU_hH-gwbU
4 Essential Sharbat Recipes By Food Fusion (Ramzan Iftar drinks),Indian/Pakistani,1 channel,-,-,4 Essential Sharbat Recipes By Food Fusion (Ramzan Iftar drinks),https://www.youtube.com/watch?v=qIczup7n_nE
4 Everyday Daal Recipes,Indian/Pakistani,1 channel,-,-,4 Everyday Daal Recipes By Food Fusion,https://www.youtube.com/watch?v=UMDrqAepAxY
4 Falooda Recipes,Indian/Pakistani,1 channel,-,-,4 Falooda Recipes By Food Fusion,https://www.youtube.com/watch?v=lwYrXZvdzp4
4 Favorite Side Dishes,Indian/Pakistani,1 channel,-,-,4 Favorite Side Dishes - Recipes By Food Fusion,https://www.youtube.com/watch?v=jgGDqQBDEhQ
4 Favourite Paratha Recipes,Indian/Pakistani,1 channel,-,-,4 Favourite Paratha Recipes By Food Fusion,https://www.youtube.com/watch?v=Q8TnM2_Q-do
4 Festive Desserts Recipes,Indian/Pakistani,1 channel,-,-,4 Festive Desserts Recipes by Food Fusion,https://www.youtube.com/watch?v=rbAVPp1s-BE
4 Freezer Friendly Samosa Recipes Tried and Tested,Indian/Pakistani,1 channel,-,-,4 Freezer Friendly Samosa Recipes Tried and Tested By Food Fusion,https://www.youtube.com/watch?v=GB6zf0gaXQ8
4 Fusion Chicken Recipes,Indian/Pakistani,1 channel,-,-,4 Fusion Chicken Recipes By Food Fusion,https://www.youtube.com/watch?v=Vs5QBoQwBuE
4 Homemade Barfi Recipes By Food Fusion (Eid Special),Indian/Pakistani,1 channel,-,-,4 Homemade Barfi Recipes By Food Fusion (Eid Special),https://www.youtube.com/watch?v=q4JLmp0auoo
4 Hot & Sour Soups Recipe,Indian/Pakistani,1 channel,-,-,4 Hot & Sour Soups Recipe by Food Fusion,https://www.youtube.com/watch?v=BtDZIxO5vx0
4 Iftar Desserts,Indian/Pakistani,1 channel,-,-,4 Iftar Desserts - Recipes By Food Fusion ( Iftar Ideas 2022),https://www.youtube.com/watch?v=7546Baf-GSQ
4 Impressive Rice Recipes,Indian/Pakistani,1 channel,-,-,4 Impressive Rice Recipes By Food Fusion,https://www.youtube.com/watch?v=2ddF0-mrDgk
4 Indo Chinese Recipes By Food Fusion (Ramzan Special Recipes),Chinese,1 channel,-,-,4 Indo Chinese Recipes By Food Fusion (Ramzan Special Recipes),https://www.youtube.com/watch?v=3w0l0l-gRDo
4 Ingredient Microwave Kalakand in Just 10 min ( No cooking No stove) Recipe,Indian/Pakistani,1 channel,-,-,4 Ingredient Microwave Kalakand in Just 10 min ( No cooking No stove) Recipe by Food Fusion,https://www.youtube.com/watch?v=DyX35m894Nc
4 Irresistible Kulfi Recipes,Indian/Pakistani,1 channel,-,-,4 Irresistible Kulfi Recipes By Food Fusion,https://www.youtube.com/watch?v=grWcjcGfhg4
4 Jhatpat Chicken Biryani Recipes,Indian/Pakistani,1 channel,-,-,4 Jhatpat Chicken Biryani Recipes By Food Fusion,https://www.youtube.com/watch?v=0E7xlLwkL3Y
4 Kachori Recipes By Food Fusion (Ramzan Special Recipes),Indian/Pakistani,1 channel,-,-,4 Kachori Recipes By Food Fusion (Ramzan Special Recipes),https://www.youtube.com/watch?v=5XNSJW-aqd8
4 Magical Chilled Doodh/Milk Drinks By Food Fusion (Ramazan Special),Indian/Pakistani,1 channel,-,-,4 Magical Chilled Doodh/Milk Drinks By Food Fusion (Ramazan Special),https://www.youtube.com/watch?v=16qpGnEpEdg
4 Make and Freeze Samosa Snack Recipes,Indian/Pakistani,1 channel,-,-,4 Make and Freeze Samosa Snack Recipes By Food Fusion,https://www.youtube.com/watch?v=z9pr9BZlq-8
4 Mango Recipes you cant resist,Indian/Pakistani,1 channel,-,-,4 Mango Recipes you cant resist By Food Fusion,https://www.youtube.com/watch?v=BNkJhDE_Qlg
4 Milk Mithai Recipes by Food Fusion (Eid Special desserts),Indian/Pakistani,1 channel,-,-,4 Milk Mithai Recipes by Food Fusion (Eid Special desserts),https://www.youtube.com/watch?v=HJJHQXdH2sk
"4 Must Have Parathas (Aloo Ka Paratha, Chicken Cheese Paratha, Muli Ka Paratha and Pizza Parata)",Continental,1 channel,-,-,"4 Must Have Parathas (Aloo Ka Paratha, Chicken Cheese Paratha, Muli Ka Paratha and Pizza Parata)",https://www.youtube.com/watch?v=rRmP_JApGuo
4 Must Try Croquette Recipes,Indian/Pakistani,1 channel,-,-,4 Must Try Croquette Recipes By Food Fusion,https://www.youtube.com/watch?v=2_2p5rCXo4g
4 must try dessert recipes,Indian/Pakistani,1 channel,-,-,4 must try dessert recipes  by Food Fusion,https://www.youtube.com/watch?v=7dfNpz9Vg3g
4 Must try Desserts By Food Fusion (Ramzan Special Recipes),Indian/Pakistani,1 channel,-,-,4 Must try Desserts By Food Fusion (Ramzan Special Recipes),https://www.youtube.com/watch?v=NsaEPF_I7E0
4 must try desserts on Eid. Recipes,Indian/Pakistani,1 channel,-,-,4 must try desserts on Eid. Recipes By Food Fusion,https://www.youtube.com/watch?v=f3POsIEqU4I
4 Must Try Eid Special Platter Recipes,Indian/Pakistani,1 channel,-,-,4 Must Try Eid Special Platter Recipes By Food Fusion,https://www.youtube.com/watch?v=s2Rp2ymuWiA
4 Must Try Kaleji Recipes,Indian/Pakistani,1 channel,-,-,4 Must Try Kaleji Recipes by Food Fusion,https://www.youtube.com/watch?v=w0dZEsTKlZo
4 Must Try Raan Roast Recipes 2022 By Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,4 Must Try Raan Roast Recipes 2022 By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=hsmEcgNh5zU
4 Must-Try Street Style Bun Kabab Recipes,Indian/Pakistani,1 channel,-,-,4 Must-Try Street Style Bun Kabab Recipes By Food Fusion,https://www.youtube.com/watch?v=KXdeVm_ZnvY
4 No-Oven Recipes Kids Will Love,Indian/Pakistani,1 channel,-,-,4 No-Oven Recipes Kids Will Love By Food Fusion,https://www.youtube.com/watch?v=TM-GCXUzKrE
4 Pizza Recipes,Continental,1 channel,-,-,4 Pizza Recipes By Food Fusion,https://www.youtube.com/watch?v=VaprWsaStk8
4 Pulao Recipes By Food Fusion (Eid Special),Indian/Pakistani,1 channel,-,-,4 Pulao Recipes By Food Fusion (Eid Special),https://www.youtube.com/watch?v=VICep4BRPeA
4 Quick Chicken Kabab Recipes under 30 Mins,Indian/Pakistani,1 channel,-,-,4 Quick Chicken Kabab Recipes under 30 Mins By Food Fusion,https://www.youtube.com/watch?v=l9QiUuukycY
4 Quick Chutney Recipes,Indian/Pakistani,1 channel,-,-,4 Quick Chutney Recipes By Food Fusion,https://www.youtube.com/watch?v=yKYgaI1uBTQ
4 Quick Fish Recipes,Indian/Pakistani,1 channel,-,-,4 Quick Fish Recipes by Food Fusion,https://www.youtube.com/watch?v=GLkRH_xtLzU
4 Quick Pasta Recipes By Food Fusion (Ramzan Special),Continental,1 channel,-,-,4 Quick Pasta Recipes By Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=AnBuAcCPNXU
4 Quick Sehri Paratha Recipes by Food Fusion (Ramzan Special recipes 2019),Indian/Pakistani,1 channel,-,-,4 Quick Sehri Paratha Recipes by Food Fusion (Ramzan Special recipes 2019),https://www.youtube.com/watch?v=4-zoXmEycFE
4 Recipes For Potato lovers,Indian/Pakistani,1 channel,-,-,4 Recipes For Potato lovers By Food Fusion,https://www.youtube.com/watch?v=MuLbMfbttDo
4 Recipes Inspired by Bengali cuisine,Indian/Pakistani,1 channel,-,-,4 Recipes Inspired by Bengali cuisine - Food Fusion,https://www.youtube.com/watch?v=CyEruVwz2oQ
4 Recipes to Challenge Yourself,Indian/Pakistani,1 channel,-,-,4 Recipes to Challenge Yourself By Food Fusion,https://www.youtube.com/watch?v=hZJGR9a2z0Y
4 Recipes to Kick Your Caffeine Cravings,Indian/Pakistani,1 channel,-,-,4 Recipes to Kick Your Caffeine Cravings By Food Fusion,https://www.youtube.com/watch?v=f0tWGnYxJgQ
4 Recipes with Oranges,Indian/Pakistani,1 channel,-,-,4 Recipes with Oranges by Food Fusion,https://www.youtube.com/watch?v=cdTnMecQNfk
4 Refreshing Iftar Drinks Recipe,Indian/Pakistani,1 channel,-,-,4 Refreshing Iftar Drinks Recipe by Food Fusion,https://www.youtube.com/watch?v=Faeuv2m2Dc0
4 Restaurant Rice Bowl Recipes,Indian/Pakistani,1 channel,-,-,4 Restaurant Rice Bowl Recipes by Food Fusion,https://www.youtube.com/watch?v=CuQGWA5Y9_w
4 Restaurant Style Meat Recipes by Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,4 Restaurant Style Meat Recipes by Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=b8sygZzRxQ0
4 Seekh Kabab Recipes By Food Fusion (Ramzan Special Recipes),Indian/Pakistani,1 channel,-,-,4 Seekh Kabab Recipes By Food Fusion (Ramzan Special Recipes),https://www.youtube.com/watch?v=NBwNsMSo9tI
4 Sheer Khurma & Sawaiyan Recipes for Eid,Indian/Pakistani,1 channel,-,-,4 Sheer Khurma & Sawaiyan Recipes for Eid by Food Fusion,https://www.youtube.com/watch?v=gPOsQgJ1lM4
4 Showstopper Eid Platters,Indian/Pakistani,1 channel,-,-,4 Showstopper Eid Platters by Food Fusion,https://www.youtube.com/watch?v=izZmJMMHamQ
4 Special BBQ Recipes By Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,4 Special BBQ Recipes By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=mNcvpVFioMk
